x,y
1.260633945465087891e+01,3.934245109558105469e+00
1.235485649108886719e+01,1.158519458770751953e+01
9.222301483154296875e+00,5.135952472686767578e+00
-1.301858663558959961e+00,3.175500869750976562e+00
1.101152801513671875e+01,-8.781653046607971191e-01
1.176818370819091797e+01,4.251424789428710938e+00
1.218965721130371094e+01,4.532590866088867188e+00
1.105037498474121094e+01,2.679275512695312500e+00
1.038082981109619141e+01,2.252385616302490234e+00
-5.128700733184814453e-01,2.563566207885742188e+00
1.234782981872558594e+01,1.179190158843994141e+01
1.201557826995849609e+01,6.767632007598876953e+00
1.002352428436279297e+01,6.082956314086914062e+00
-1.036950945854187012e+00,4.963631629943847656e+00
1.067694377899169922e+01,1.946287155151367188e+00
9.853926658630371094e+00,6.050199031829833984e+00
-1.754339575767517090e+00,4.401359558105468750e+00
1.183664512634277344e+01,4.740469455718994141e+00
1.246275329589843750e+01,1.168367576599121094e+01
1.502218532562255859e+01,1.196170234680175781e+01
1.302955818176269531e+01,1.188911342620849609e+01
9.399482727050781250e+00,6.668491363525390625e+00
-2.804029583930969238e-01,6.404470920562744141e+00
1.321646595001220703e+01,1.120512962341308594e+01
1.072209167480468750e+01,7.325706481933593750e+00
1.238191795349121094e+01,6.390322685241699219e+00
9.468392133712768555e-01,2.278619527816772461e+00
1.289700889587402344e+01,6.736591815948486328e+00
8.853408813476562500e+00,5.540275096893310547e+00
-7.901971936225891113e-01,1.373627781867980957e+00
1.048001289367675781e+01,2.441299915313720703e+00
1.377822303771972656e+01,1.209200477600097656e+01
-3.707541525363922119e-01,5.235033512115478516e+00
1.001976680755615234e+01,3.031927585601806641e+00
-2.004049777984619141e+00,5.471563339233398438e+00
1.256340885162353516e+01,6.187639713287353516e+00
-4.984374716877937317e-02,4.737637042999267578e+00
-9.330978989601135254e-01,2.351031303405761719e+00
1.274088001251220703e+01,7.158095359802246094e+00
1.271397972106933594e+01,5.471684336662292480e-01
1.111289787292480469e+01,2.232252359390258789e+00
1.178256797790527344e+01,2.432717800140380859e+00
9.755950927734375000e+00,5.011301994323730469e+00
1.097835922241210938e+01,5.796643733978271484e+00
1.139090824127197266e+01,4.139871120452880859e+00
9.939393043518066406e+00,4.168888568878173828e+00
1.209011650085449219e+01,7.099631309509277344e+00
-1.615743517875671387e+00,4.638224601745605469e+00
1.237087154388427734e+01,7.395104408264160156e+00
-1.249424219131469727e-01,1.859889149665832520e+00
1.039293259382247925e-01,3.653677225112915039e+00
-3.319124281406402588e-01,1.631008744239807129e+00
-1.224602222442626953e+00,2.152608633041381836e+00
1.329078483581542969e+01,5.361657619476318359e+00
1.323480510711669922e+01,4.980270862579345703e+00
1.323287963867187500e+01,1.291576671600341797e+01
-9.459184408187866211e-01,4.489460468292236328e+00
1.254203128814697266e+01,5.401396274566650391e+00
-1.277798652648925781e+00,5.174436092376708984e+00
-1.689493179321289062e+00,3.450546026229858398e+00
1.128569221496582031e+01,6.515796184539794922e+00
1.198143959045410156e+01,7.128080844879150391e+00
1.184186458587646484e+01,-1.307273268699645996e+00
-5.213234424591064453e-01,2.515886783599853516e+00
1.135520458221435547e+01,5.144213199615478516e+00
5.593238398432731628e-02,2.399967670440673828e+00
9.479075431823730469e+00,5.235643863677978516e+00
9.462097167968750000e+00,5.528245449066162109e+00
1.258563709259033203e+01,6.749719619750976562e+00
1.238506889343261719e+01,4.833817481994628906e+00
1.154495525360107422e+01,3.825187444686889648e+00
1.175552749633789062e+01,-1.615137457847595215e+00
9.622250556945800781e+00,4.227568626403808594e+00
1.139098739624023438e+01,-8.511981368064880371e-01
1.295182132720947266e+01,4.416460037231445312e+00
1.271144104003906250e+01,1.240287399291992188e+01
1.111706447601318359e+01,6.461958408355712891e+00
1.137162590026855469e+01,3.698489189147949219e+00
9.962745666503906250e+00,6.254426956176757812e+00
-1.274728059768676758e+00,5.079274654388427734e+00
6.312680244445800781e-01,5.125257968902587891e+00
1.238904476165771484e+01,2.281002044677734375e+00
-5.526037216186523438e-01,3.610211849212646484e+00
1.170463752746582031e+01,5.828268051147460938e+00
-6.685613393783569336e-01,6.081028938293457031e+00
1.252450466156005859e+01,1.216620349884033203e+01
1.155673980712890625e+01,5.679214954376220703e+00
9.318391799926757812e+00,6.754359245300292969e+00
1.397392845153808594e+01,1.202691555023193359e+01
1.372098159790039062e+01,1.336574077606201172e+01
1.248428916931152344e+01,6.485327243804931641e+00
-5.291286110877990723e-01,4.839340209960937500e+00
1.363360691070556641e+01,1.227197551727294922e+01
1.275216007232666016e+01,1.282353210449218750e+01
-1.900313973426818848e+00,4.295928478240966797e+00
3.281776010990142822e-01,4.727348804473876953e+00
1.198022747039794922e+01,7.616524696350097656e+00
-5.472210049629211426e-01,4.878108501434326172e+00
-1.052762746810913086e+00,6.106991767883300781e+00
2.457476377487182617e+00,5.501945018768310547e+00
1.138503265380859375e+01,-1.983131885528564453e+00
6.750837713479995728e-02,4.447443485260009766e+00
1.062802600860595703e+01,4.602794647216796875e+00
1.096395301818847656e+01,3.689191043376922607e-01
1.110965919494628906e+01,-8.263670206069946289e-01
1.241764926910400391e+01,1.178239822387695312e+01
9.985779762268066406e+00,1.765404701232910156e+00
1.236987686157226562e+01,1.181874847412109375e+01
1.023841285705566406e+01,6.409669876098632812e+00
2.989593029022216797e+00,5.636021137237548828e+00
-1.730927824974060059e+00,4.007678508758544922e+00
9.190049171447753906e+00,3.841036796569824219e+00
9.824921607971191406e+00,4.525420665740966797e+00
9.823145866394042969e+00,3.110412359237670898e+00
-3.476513624191284180e-01,6.426186561584472656e+00
1.880317628383636475e-01,2.821947097778320312e+00
1.201277065277099609e+01,7.069883346557617188e+00
1.359948253631591797e+01,1.250179290771484375e+01
-9.551962614059448242e-01,2.637196540832519531e+00
1.162200927734375000e+01,5.361672878265380859e+00
1.078909683227539062e+01,5.505489706993103027e-01
-2.758859395980834961e-01,6.026072978973388672e+00
1.382797622680664062e+01,1.197446441650390625e+01
1.221389007568359375e+01,2.177325725555419922e+00
1.178161430358886719e+01,4.252149581909179688e+00
9.258733749389648438e+00,5.951800346374511719e+00
-3.574965000152587891e-01,4.300283908843994141e+00
1.295971107482910156e+01,1.214123249053955078e+01
1.142186069488525391e+01,-1.703234553337097168e+00
1.170609092712402344e+01,6.071102142333984375e+00
1.068933010101318359e+01,4.291059017181396484e+00
1.290465259552001953e+01,6.534866809844970703e+00
1.243988132476806641e+01,6.314982891082763672e+00
1.036414813995361328e+01,1.549426078796386719e+00
1.411899089813232422e+01,1.216375350952148438e+01
-1.441758632659912109e+00,3.373777151107788086e+00
1.287297248840332031e+01,4.292755126953125000e+00
1.262917804718017578e+01,4.310209274291992188e+00
9.522831916809082031e+00,4.565937519073486328e+00
1.393816375732421875e+01,1.205270099639892578e+01
1.198746681213378906e+01,5.828251361846923828e+00
1.080554199218750000e+01,1.242346525192260742e+00
1.133931636810302734e+01,-7.091649770736694336e-01
1.354902458190917969e+01,1.190467453002929688e+01
1.030416393280029297e+01,1.949700832366943359e+00
1.037048530578613281e+01,2.263619184494018555e+00
1.252371597290039062e+01,1.209771156311035156e+01
1.260916900634765625e+01,6.036720275878906250e+00
-1.585360646247863770e+00,4.096870899200439453e+00
1.063777732849121094e+01,-1.598221778869628906e+00
1.129832363128662109e+01,1.328714132308959961e+00
1.052807140350341797e+01,5.526805400848388672e+00
1.054859733581542969e+01,4.462330341339111328e+00
1.290673065185546875e+01,4.587990760803222656e+00
-1.865437984466552734e+00,5.511088848114013672e+00
1.099470520019531250e+01,5.715933799743652344e+00
1.164827251434326172e+01,7.192587375640869141e+00
1.116979217529296875e+01,-1.714849591255187988e+00
1.052378177642822266e+01,2.928687334060668945e-01
-1.501343846321105957e+00,4.658737182617187500e+00
1.302326011657714844e+01,1.253663825988769531e+01
1.944758057594299316e+00,5.337320804595947266e+00
1.380469894409179688e+01,1.224473571777343750e+01
-4.309023320674896240e-01,6.757883071899414062e+00
1.176676940917968750e+01,1.807503104209899902e+00
1.475812149047851562e+01,1.313897514343261719e+01
1.127173519134521484e+01,3.839329481124877930e+00
1.133190155029296875e+01,3.277898550033569336e+00
1.119893455505371094e+01,2.460421800613403320e+00
1.201788043975830078e+01,4.896276473999023438e+00
1.223562335968017578e+01,6.663245677947998047e+00
1.256343650817871094e+01,4.609456062316894531e+00
1.054785060882568359e+01,4.749304771423339844e+00
-1.678636819124221802e-01,5.780439376831054688e+00
1.041438674926757812e+01,3.836344003677368164e+00
2.159325122833251953e+00,5.464215755462646484e+00
1.312366104125976562e+01,5.604641914367675781e+00
1.125484657287597656e+01,3.269727945327758789e+00
1.423222637176513672e+01,1.271169185638427734e+01
1.472790622711181641e+01,1.283962821960449219e+01
-1.775952130556106567e-01,1.577993035316467285e+00
1.451357269287109375e+01,1.115356063842773438e+01
1.128052902221679688e+01,7.047330856323242188e+00
-1.231197565793991089e-01,2.266449689865112305e+00
-1.684315681457519531e+00,5.722529888153076172e+00
1.183242607116699219e+01,-1.452428221702575684e+00
1.255145263671875000e+01,-2.779798209667205811e-01
1.201298236846923828e+01,3.587920665740966797e+00
-1.081554889678955078e+00,4.472985744476318359e+00
1.067349529266357422e+01,6.813769817352294922e+00
1.347702121734619141e+01,1.285816478729248047e+01
9.253568649291992188e+00,4.724161148071289062e+00
1.381776142120361328e+01,1.255611038208007812e+01
1.058442783355712891e+01,1.178668856620788574e+00
1.203161144256591797e+01,-9.905126094818115234e-01
1.141600227355957031e+01,9.710029363632202148e-01
1.198047828674316406e+01,3.570241928100585938e+00
1.157775115966796875e+01,-1.457951068878173828e+00
1.119621849060058594e+01,3.219561338424682617e+00
1.252829456329345703e+01,1.696045398712158203e+00
4.072284400463104248e-01,4.296873092651367188e+00
1.234442043304443359e+01,1.991010069847106934e+00
1.115409278869628906e+01,1.617721080780029297e+00
1.159286403656005859e+01,4.984508514404296875e+00
1.008562755584716797e+01,5.101562023162841797e+00
1.275157183408737183e-01,3.683284759521484375e+00
-4.671805500984191895e-01,1.935022115707397461e+00
1.212624549865722656e+01,6.287465572357177734e+00
1.190104484558105469e+01,2.334270238876342773e+00
1.107848358154296875e+01,-1.988638401031494141e+00
1.056840801239013672e+01,4.955518722534179688e+00
1.109343719482421875e+01,1.308056950569152832e+00
1.112762737274169922e+01,2.389314413070678711e+00
1.271448326110839844e+01,2.619608640670776367e+00
1.094746971130371094e+01,6.902778148651123047e+00
-1.040306806564331055e+00,6.079638481140136719e+00
-1.845368027687072754e+00,5.603686332702636719e+00
9.762498855590820312e+00,5.970527172088623047e+00
1.379625988006591797e+01,1.104412746429443359e+01
1.238950061798095703e+01,4.724086761474609375e+00
1.079541873931884766e+01,5.562278747558593750e+00
7.812933325767517090e-01,5.830730438232421875e+00
1.020722484588623047e+01,6.391048431396484375e+00
1.151238441467285156e+01,5.880359649658203125e+00
1.024349403381347656e+01,5.607433795928955078e+00
